"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer","Manufacturer Part Number","LCSC","DigiKey"
"C1,C2","2","0.1uF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","","Samsung Electro-Mechanics","CL10B104KB8NNNC","C1591","1276-1000-1-ND"
"C3","1","22uF 16V","","","","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_HandSolder","","KEMET","T491B226K016AT","C110051","399-8312-1-ND"
"C4","1","DNP","","","","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_HandSolder","","KEMET","T491B226K016AT","C110051","399-8312-1-ND"
"C5","1","1uF 35V","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","","Rubycon","35MU105KB13225","C3780479","1189-35MU105KB13225CT-ND"
"D1,D2","2","SM5819PL 1A 40V","","","","Diode_SMD:D_SMA","","MCC","SM5819PL-TP","C669023","SM5819PL-TPMSCT-ND"
"F1","1","Polyfuse 200mA 30V","","","","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","Bel Fuse Inc.","0ZCJ0020FF2E","C6964258","5923-0ZCJ0020FF2ECT-ND"
"G1","1","qwiic_Logo","","","Excluded from board","","","","","",""
"J1","1","QWIIC","","","","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","","JST","SM04B-SRSS-TB(LF)(SN)","C160404","455-SM04B-SRSS-TBCT-ND"
"J2","1","TTL Serial","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","",""
"J3","1","HP34401A","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","","","","",""
"J4","1","LT7680 Controller Board","","","","Connector_FFC-FPC:TE_2-84952-0_1x20-1MP_P1.0mm_Horizontal","","GCT","FFC3B07-20-T","C262352","2073-FFC3B07-20-TCT-ND or A100319CT-ND"
"J5","1","ER-PCBA5981_JP1","","","","FanPico:PinHeader_2x05_7pin_P2.54mm_Vertical","","","","",""
"J6","1","Flash Download","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Horizontal","","","","",""
"J7","1","REG","","","","FanPico:TO-220-3_Horizontal_TabDown_NoHole","","","","",""
"JP1,JP2","2","Jumper_2_Small_Open","","","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","","","","",""
"R1","1","1K","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","","YAGEO","RC0603FR-071KL","C22548",""
"SW1","1","RESET","","","","FanPico:SW-SMD_L3.9-W3.0-P4.45","","XUNPU","TS-1088-AR02016","C720477",""
"TP1,TP2","2","TestPoint","","","","TestPoint:TestPoint_Pad_D1.5mm","","","","",""
"U1","1","Pico 2","","","","FanPico:RPi_Pico_PicoW_SMD_TH","","","","",""
"U2","1","CD74HC4050NSR","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","TI","CD74HC4050M96","C131932","296-14529-1-ND"
